Nom du magasin,Enseigne,Région,Adresse,Latitude,Longitude
Alain Afflelou - APDE - Puteaux,Afflelou,Île-de-France,"CC Les 4 temps, 92800 Puteaux",48.8874,2.2393
Alain Afflelou - BEIL - ILLZACH,Afflelou,Grand Est,"8 rue de MULHOUSE, 68110 Illzach",47.7473,7.3291
Alain Afflelou - CACR - CRECHES-SUR-SAONE,Afflelou,Bourgogne-Franche-Comté,"Les Bouchardes CC Carrefour, 71680 CRECHES-SUR-SAONE",46.3470,4.8491
Alain Afflelou - Chateaulin - CCHA,Afflelou,Bretagne,"1 GRAND RUE, 29150 CHATEAULIN",48.1001,-4.1450
Alain Afflelou - CLAI - Brétigny -sur-Orge,Afflelou,Île-de-France,"C.C. Auchan, 91220 Brétigny sur Orge",48.6114,2.3218
Alain Afflelou - DEVS - VILLENNES-SUR-SEINE,Afflelou,Île-de-France,"3 chemin aux boeufs, 78670 VILLENNES-SUR-SEINE",48.9768,1.9853
Alain Afflelou - GOLH - LE HAVRE,Afflelou,Normandie,"28 place de l'Hôtel de Ville, 76600 LE HAVRE",49.4942,0.1083
Alain Afflelou - HAZEBROUCK,Afflelou,Hauts-de-France,"69 rue du Milieu, 59190 HAZEBROUCK",50.5964,2.5460
Alain Afflelou - La Ville-Du-Bois - COVB,Afflelou,Île-de-France,"CENTRE COMMERCIAL CARREFOUR LOCAL 44, RUE DE LA CROIX SAINT-JACQUES, 91620 LA VILLE-DU-BOIS",48.6280,2.3670
Alain Afflelou - LAVB - VILLIERS-EN-BIERE,Afflelou,Île-de-France,"CC CARREFOUR, 77190 VILLIERS EN BIERE",48.6167,2.6522
Alain Afflelou - LOCS - Lieusaint,Afflelou,Île-de-France,CC Carrefour - 77127 Lieusaint,48.6310,2.5520
Alain Afflelou - LOJR - Saint-Jean-de-la-Ruelle,Afflelou,Centre-Val de Loire,"CC Auchan, 45140 Saint Jean de la Ruelle",47.9237,1.8587
Alain Afflelou - Louviers,Afflelou,Normandie,"6 rue du Général de Gaulle, 27400 LOUVIERS",49.2161,1.1707
Alain Afflelou - Marseille La Valentine,Afflelou,Provence-Alpes-Côte d'Azur,"CC Géant Casino - La Galerie La Valentine - Route des Sablières, 13011 MARSEILLE",43.2854,5.4614
Alain Afflelou - Melun - COME,Afflelou,Île-de-France,"40 RUE SAINT ASPAIS, 77000 MELUN",48.5392,2.6606
Alain Afflelou - MOAZ - AZE,Afflelou,Pays de la Loire,"13 RTE DE SABLE, 53200 CHATEAU-GONTIER-SUR-MAYENNE",47.8283,-0.7057
Alain Afflelou - OPEC - Echirolles,Afflelou,Auvergne-Rhône-Alpes,"70 Grand place, 38130 Echirolles",45.1497,5.7207
Alain Afflelou - Plaisir,Afflelou,Île-de-France,"C.C. Auchan, 78370 PLAISIR",48.8256,1.9514
Alain Afflelou - Revel - BORE (REVOPTIC),Afflelou,Occitanie,"2 AVENUE DE CASTRES, 31250 REVEL",43.4575,2.1942
Alain Afflelou - Royan - CORO,Afflelou,Nouvelle-Aquitaine,"26 rue Antoine Laur de Lavoisier, 17200 ROYAN",45.6253,-1.0198
Alain Afflelou - ZAPC - Pontault-Combault,Afflelou,Île-de-France,"CC Carrefour - RN 4, 77340 Pontault - Combault",48.7991,2.6147
Alain Afflelou AGDE,Afflelou,Occitanie,"2 avenue du Grand Large, 34300 Agde",43.3065,3.4903
Alain Afflelou ALBI,Afflelou,Occitanie,"97 avenue de Saint Juéry, 81000 ALBI",43.9251,2.1592
Alain Afflelou ALTKIRCH / Duplyka,Afflelou,Grand Est,"2 PL DE LA REPUBLIQUE, 68130 ALTKIRCH",47.6264,7.2366
Alain Afflelou AMILLY,Afflelou,Centre-Val de Loire,"1522 avenue d’Antibes, 45200 Amilly",48.0051,2.7354
"Alain Afflelou ARGELÈS-SUR-MER",Afflelou,Occitanie,"C.C. Intermarché, 66700 Argelès-sur-Mer",42.5522,3.0298
Alain Afflelou AUCH,Afflelou,Occitanie,"ZAC du Grand Chêne, 32000 AUCH",43.6451,0.5880
Alain Afflelou AUCHY LES MINES,Afflelou,Hauts-de-France,"94 route nationale - Face à la Boulangerie Louise, 62138 Auchy-les-Mines",50.5059,2.8143
Alain Afflelou AURILLAC 1,Afflelou,Auvergne-Rhône-Alpes,"147, avenue du Général Leclerc, 15000 AURILLAC",44.9265,2.4391
Alain Afflelou AURILLAC 2,Afflelou,Auvergne-Rhône-Alpes,"14 avenue Gambetta, 15000 Aurillac",44.9233,2.4411
Alain Afflelou BAR-LE-DUC,Afflelou,Grand Est,"21-23 rue André Maginot, 55000 Bar-le-Duc",48.7734,5.1646
Alain Afflelou BARENTIN,Afflelou,Normandie,"C.C. Carrefour, 76360 Barentin",49.5367,0.9652
Alain Afflelou BÉDARIEUX,Afflelou,Occitanie,"ZAC La Bastide - route de Saint Pons, 34600 Bédarieux",43.6070,3.1460
Alain Afflelou BELFORT,Afflelou,Bourgogne-Franche-Comté,"C.C. des 4 As - Galerie de l'As de Carreau, 90000 Belfort",47.6410,6.8530
Alain Afflelou BÉZIERS,Afflelou,Occitanie,"C.C. E.Leclerc - ZAC de Montimaran, 34500 BÉZIERS",43.3564,3.2296
Alain Afflelou BLAGNAC,Afflelou,Occitanie,"C.C. Leclerc, 31700 Blagnac",43.6350,1.3895
